abbreviate,לקצר
manipulate,להפעיל
manner,"אופן, הדרך שבא אדם מתנהג, נימוסים (ברבים)"
manual,"שנעשה ביד, ידני"
manually,"ביד, ידנית"
mark,"סימן, כתם, ציון, לסמן, להבחין"
martyr,קדוש מעונה
mass,"מאסה (של חומר כלשהו), כמות גדולה, ""מאסה"""
match,"שידוך, לשדך, להתאים, תחרות משחק, גפרור"
maverick,אדם בעל דעות עצמאיות לא שמרניות
means,"דרכים, שיטות, אמצעים, אמצעים כספיים"
media,"אמצעי תקשורת המוניים (רדיו, טלויזיה, עיתונות)"
medical,רפואי
medicine,"רפואה (המקצוע), תרופה"
meet,לפגוש
member,"חבר (במועדון, בקבוצה), איבר"
menu,תפריט
mercy,רחמים
mere,"רק, בלבד, בסה""כ"
messenger,שליח
method,"שיטה, סדר"
migrate,"לנדוד, להגר"
mild,"עדין, רך, לא חזק"
mind,"שכל, תודעה, להתנגד"
minimize,להקטין למינימום
minute,דקה
misery,"אומללות, סבל"
mislead,"להשלות, להוליך שולל"
mistake,טעות
mixture,תערובת
mode,"אופן, דרך"
moderate,מתון
modest,"צנוע, ענו"
modification,"תיקון, שינוי"
modify,"לתקן, לשנות"
moment,רגע
momentary,"רגעי, בכל רגע ורגע"
monkey,קוף
mood,מצב רוח
motion,תנועה
municipal,"עירוני, של רשות מקומית"
muscle,שריר
mutual,"הדדי, משותף"
myth,"סיפור אגדה עתיק, מיתוס, אגדה"
narrow,צר
neat,"נקי, מסודר, יעיל, עשוי היטב"
necessary,"נחוץ, הכרחי, חיוני"
necessity,"משהו חיוני, צורך"
needle,מחט
neglect,"להזניח, הזנחה"
negligence,רשלנות
net,רשת
nevertheless,למרות זאת
news,חדשות
nightmare,"סיוט, חלום בלהות"
nobility,"אצולה, התכונות התרומיות, הטובות"
noble,אצילי
nocturnal,"של הלילה, לילי"
nominal,"נומינלי, קיים בתיאוריה, קיים בשמו בלבד, בעל חשיבות מזערית"
north,צפון
notable,"ראוי לציון, נכבד, מצויין"
notably,באופן בולט במיוחד
notice,"התראה, הודעה, לשים לב, תשומת לב, מודעה"
noticeable,שקל להבחין בו
noticeably,באופן שקל להבחין בו
notion,"דעה, רעיון"
novel,"רומן, יצירה ספרותית ארוכה, חדש"
nowadays,בימינו
nuclear,גרעיני
nun,נזירה
nurse,"אח (בבי""ח), לטפל, לסעוד מישהו חולה"
nutrition,תזונה
obedience,משמעת
obey,לציית
object,"חפץ, מטרה, מושא (בתחביר), מושא (בתחביר)"
objection,התנגדות
objective,"מטרה, ללא משוא פנים, הוגן, אובייקטיבי"
obscure,"מוזר, ידוע למעטים, מעורפל, לא ברור, לערפל, לטשטש"
obsessed,אחוז דיבוק
obsession,"קיבעון, אובססיה"
obtain,להשיג
obvious,ברור
obviously,"ברור מאליו, כמובן"
occasion,"מאורע, אירוע"
occupation,"מקצוע, תחום תעסוקה, תפיסת טריטוריה על ידי מדינה או צבא"
occupy,"לשהות במקום, לתפוס מקום, תפוס"
occur,להתרחש
occurrence,התרחשות
odor,"ריח, ניחוח"
offer,"הצעה, להציע"
often,לעיתים קרובות
oil,"נפט, שמן"
on account of, בגלל
opponent,מתנגד
opportune,משהו שקרה בעיתוי מוצלח
opportunism,ניצול כל הזדמנות לרווח
opportunity,הזדמנות
oppose,להתנגד
opposition,התנגדות
oppress,לדכא
oppression,דיכוי
orange,"תפוז, כתום"
order,סדר
origin,"מקור, מוצא"
oscillate,"להיטלטל, להתנודד"
ostentatious,"ראוותני, יומרני, גנדרני"
otherwise,"אלא אם כן, אחרת"
outcome,תוצאה של מהלך אירועים
outdo,"להאפיל, לעשות טוב יותר"
outgrowth,תוצאה טבעית של משהו
outline,"מסגרת, ראשי פרקים, תקציר, קווי מתאר"
outrage,שערורייה
outspread,לפרוש לרווחה
overrate,להעריך יתר על המידה
pain,כאב
painful,כואב
parallel,מקביל
pardon,"סליחה, מחילה, חנינה"
parents,הורים
participant,משתתף
participate,להשתתף
particular,"מסויים, בררן"
pattern,"שיטה, סדר אירועים קבוע, דפוס, דוגמא של ציור, רקמה וכו'"
peak,"שיא, פסגה (גם של הר וגם של אירוע)"
pedestrian,הולך רגל
perception,"תפיסה, ראייה לעומק"
perform,לבצע
period,תקופה
perish,"להירקב, להיחרב, למות"
permanent,קבוע
permeate,"להתפשט, לחדור"
perplexed,לחוש בלבול ודאגה
persevere,להתמיד
personality,אישיות
persuade,לשכנע
pertinent,"שייך לנושא, רלוונטי"
pest,"מטרד, מפגע"
pet,חיית מחמד
petulant,"קצר רוח, חסר סבלנות"
phase,שלב (בזמן)
phrase,ביטוי (שמשתמשים בו כיחידה אחת)
pink,ורוד
pioneer,חלוץ
place,מקום
plan,תוכנית
plane,"מישור, מטוס"
plant,"צמח, לשתול"
pocket,כיס
portion,"חלק משלם, מנה"
position,תנוחה
possess,להיות בעלים של...
possession,"נכס, חפץ השייך למישהו"
possible,אפשרי
postpone,לדחות
posture,"יציבה, תנוחה"
potential,"פוטנציאל, היכולת הטמונה באדם, בפוטנציה, בעל סיכוי להתפתח"
praise,"לשבח, דברי שבח"
preach,לשאת דרשה
preacher,"מטיף (בדר""כ כומר)"
precede,כאשר אירוע מקדים אירוע אחר
precise,"מדוייק, מוגדר"
preclude,למנוע מאירוע להתקיים
predator,טורף
predict,לחזות
prediction,תחזית
prejudice,דעה קדומה
prejudicial,גזעני
prescription,מרשם
prevent,למנוע
preventive,מניעתי
previous,הקודם
previously,מקודם
prey,טרף
price,מחיר
priceless,"ללא מחיר, בעל ערך עצום"
primarily,בעיקר
primary,"ראשוני, עיקרי"
principal,"חשוב, עיקרי, מנהל בי""ס"
probably,כנראה
process,תהליך
procure,להשיג משהו שקשה להשגה
produce,"לייצר, מוצר, תוצר"
production,ייצור
profit,רווח
profitable,רווחי
profound,"עמוק, כבד, רציני"
progressive,"מתקדם, מתפתח"
prompt,"לגרום למשהו שיקרה, מהיר, מיידי"
propaganda,תעמולה
propagate,להתרבות
proper,"נאות, מתאים"
property,רכוש
proposal,הצעה
propose,להציע (נישואין למשל)
prospect,"סיכויים, אפשרויות"
prosperous,"משגשג, מצליח, פורח"
protest,"למחות, מחאה"
prove,להוכיח
provide,לספק
provisional,"זמני, ארעי"
provisions,אספקה
pure,טהור
purple,סגול
purpose,מטרה
pursue,לרדוף אחרי...
pursuit,"מרדף, רדיפה"
put,לשים
puzzle,"תצרף, חידה, פאזל"
puzzled,מבולבל
qualifications,"נתונים, כישורים"
qualify,להיות בעל כישורים מתאימים
quality,"איכות, תכונה"
quantity,כמות
quarrel,"ריב, לריב"
quest,מסע בחיפוש אחר דבר מה
quit,לפרוש
quite,"במידה רבה, יותר מהממוצע, מאד"
race,"תחרות, מירוץ, גזע"
radical,קיצוני
radicalism,קיצוניות
random,"אקראי, ללא מטרה או כוונה"
range,"טווח, להתפרס, להשתרע"
rank,דרגה
rarely,לעיתים רחוקות
rate,"קצב, שער (במסחר), להעריך, לאמוד, לדרג"
rather,"מוטב, עדיף, להעדיף, למדי"
react,להגיב
reaction,תגובה
read,לקרוא
realize,"להבין, לתפוס, לממש"
receive,לקבל
recent,"חדש, שהתרחש לאחרונה"
recently,קרה לאחרונה
reciprocal,הדדי
recognition,זיהוי
recognize,לזהות
reconcile,"להשלים, להתפייס"
reconciliation,פיוס
recuperate,להחלים
reduce,"להפחית, להנמיך"
redundant,"מיותר, חוזר על עצמו"
refer,"להתייחס ל..., להפנות"
refrain,להימנע מ...
regret,"להתחרט, חרטה"
rehabilitation,שיקום
relate,"לדווח, לספר"
relate to, להתייחס ל...
relation,"קשר, קרבה משפחתית"
relationship,מערכת יחסים
relative,"יחסי, קרוב משפחה"
relatively,יחסית
release,לשחרר
relief,"הקלה, רווחה, מחליף"
relieve,"לגרום הקלה, להקל"
religious,דתי
reluctant,"מסוייג, שלא רוצה"
rely,לסמוך
remain,להישאר
remainder,"מה שנשאר, שארית"
remark,להעיר (הערה)
remarkable,ראוי לציון
remind,להזכיר
reminder,תזכורת
remnant,"שייר, שריד"
remote,מרוחק
renovate,לשפץ (בניין)
repair,"לתקן, תיקון"
replace,להחליף
represent,"לייצג, לסמל"
representation,ייצוג
representative,נציג
reprimand,לנזוף
reproduce,להתרבות
reprove,לגעור
repudiate,"להתכחש, לגנות, להתנער מ..."
repugnant,מבחיל
reputation,מוניטין
request,בקשה
require,"לבקש, להצהיר על משהו כנחוץ, לדרוש"
requirement,"צורך, דרישה"
rescue,להציל
residue,שייר
resolution,החלטה נחושה לבצע משהו
resolve,להחליט
respect,כבוד
respectable,"מעורר כבוד, מכובד"
respectively,בהתאמה
respond,להגיב
response,"תגובה, תשובה"
responsibility,אחריות
responsible,אחראי
restatement,ניסוח מחדש
restaurant,מסעדה
restore,להחזיר למצב הקודם
restrain,לרסן
restraint,"איפוק, ריסון"
restrict,להגביל
restriction,הגבלה
result,תוצאה
return,לחזור
reveal,לגלות משהו שהיה חסוי
revert,לחזור לשיטה הקודמת
reward,"לגמול, פרס, תגמול"
ridicule,"ללעוג, לעג"
ring,לצלצל
risk,"סיכון, לסכן"
risky,"מסוכן, שטמון בו סיכון"
roam,לשוטט
role,תפקיד
rout,"להנחיל תבוסה, להביס, הנחלת תבוסה"
routine,"שגרתי, שגרה"
run,לרוץ
rush,נהירה
ruthless,"אכזרי, חסר רחמים"
sabotage,"חבלה, לחבל"
sacrifice,"להקריב, הקרבה"
satisfaction,סיפוק
satisfactory,משביע רצון
saturnine,"עצוב, קודר, זועף"
save,"לשמור, לחסוך"
scent,ניחוח
scheme,תוכנית
scholar,מלומד
science,מדע
scorch,"לצרוב, לחרוך"
scream,"לצרוח, צרחה"
scrutinize,"לבדוק, לחקור, לבחון בקפידה, לעיין"
sculpture,פסל
search,"לחפש, חיפוש"
season,עונה
second,"שני, שנייה, רגע"
section,"רובע, חלק, תחום"
security,בטחון
see,לראות
seek,"לחפש, לבקש"
seldom,לעיתים רחוקות
send,לשלוח
sense,"לחוש, להרגיש, חוש, הרגשה"
sensible,"הגיוני, שקול"
sensitivity,רגישות
separate,"להפריד, נפרד, לא מחובר"
serene,שליו
set,לערוך
several,"אחדים, כמה"
severe,חמור
severely,"באופן חמור, באופן רציני"
shape,"צורה, להקנות צורה"
shapeless,חסר צורה
share,"לשתף, חלק, מנייה"
sharp,חד
shell,"קליפה, צדף"
shine,לזרוח
shock,"הלם, פליאה, לגרום למישהו פליאה"
shocking,"מזעזע, מפליא, מהמם"
shortcut,קיצור דרך (גם במשמעות המושאלת)
show,להראות
shrewd,פיקח
shrewdly,בפיקחות
shrewdness,פיקחות
shut,לסגור
sight,"מראה, ראייה"
sign,"לסמן, סימן, שלט, לחתום"
signal,סימן
significance,חשיבות
significant,"בעל משמעות, חשוב"
signify,"לסמן, להביע, לתת סימן"
silent,שקט
similar,דומה
similarity,דמיון
simultaneous,"בו-זמנית, באותו הזמן"
sincere,כן
sincerity,כנות
sing,לשיר
sinister,"רע, מפחיד"
sink,לטבוע
sit,לשבת
situate,למקם
situated,ממוקם
situation,מצב
skill,מיומנות
skillful,מיומן
skimp,להתקמצן
sleep,לישון
slight,"מעט, קטן"
argue,"להתווכח, לטעון"
argument,"טיעון, ויכוח"
argumentative,וכחן
arise,"לקום, לנבוע"
arm,זרוע
aroma,ניחוח
arouse,לעורר
arrange,לסדר
arrangement,סידור
arrive,להגיע
arrogant,"יהיר, שחצן"
art,אומנות
ascertain,"לברר, לוודא"
ascribe,"לייחס, לשייך"
assault,"לתקוף, תקיפה, התקפה"
assembly,הרכבה
assert,"לעמוד על, להכריז, לתבוע"
assertion,טענה תקיפה
assertive,החלטי
assertively,באופן החלטי
asset,נכס
assign,למנות
assimilate,"לספוג, להיטמע"
associated,"מקושר, מתלווה ל..."
assume,"להניח, לקבל על עצמו"
assumption,הנחה
astonish,"מדהים, להדהים"
at least, לפחות
attach,"לחבר, להיות קשור ל..."
attack,לתקוף
attain,להשיג
attempt,"לנסות, ניסיון"
attend,"לטפל, להיות נוכח"
attendance,נוכחות
attention,תשומת לב
attitude,גישה
attorney,עורך דין
attract,למשוך
attraction,משיכה
attractive,מושך
attribute,"לייחס, תכונה, סמל"
audacious,נועז
audience,"קהל, ראיון"
aunt,דודה
authentic,"אמיתי, מקורי"
authenticity,"אותנטיות, אמיתיות"
author,"סופר, יוצר"
authoritative,סמכותי
authority,"סמכות, רשות מנהלית"
autumn,סתיו
available,פנוי
avarice,תאוות בצע
avaricious,תאב בצע
avoid,להימנע מ...
aware,מודע
awareness,מודעות
awe,יראת כבוד
awe inspiring, מעורר יראת כבוד
axis,ציר
azure,תכלת
vaccination,חיסון
vague,"לא ברור, מעורפל"
vain,יהיר
valid,"שריר, בר-תוקף"
valuable,בעל ערך
valuate,להעריך
value,ערך
vapor,אד
various,"שונה, מגוון"
vary,"להשתנות, להיות מגוון"
vast,"רחב, עצום"
vegetable,ירק
velocity,מהירות
vengeance,נקמה
verdict,פסק דין
verifiable,ניתן לבירור
verify,"לברר, לאמת"
version,גרסה
vertebrae,חוליות עמוד השדרה
village,כפר
violence,אלימות
virtue,מעלה
visibility,ראות
vision,ראייה
volume,"עוצמת קול, כרך של ספר, נפח"
vulnerable,"פגיע, רגיש"
wage,"שכר, משכורת, להתחיל, לערוך, לנהל"
wail,"בכי,זעקה, לילל"
wander,לשוטט
warning,אזהרה
waste,"פסולת, בזבוז, לבזבז"
watch,"לצפות, שעון"
wave,גל
weather,מזג אוויר
well,"טוב, באר, ובכן"
west,מערב
wet,רטוב
whale,לוויתן
wharf,מזח
whereas,בשעה ש... בעוד... (מראה על ניגוד בין משפטים)
whereby,שבאמצעותו
whistle,"משרוקית, לשרוק"
whole,"הכל, שלם"
wholesale,סיטונאות
wicked,"רשע, רע"
wickedness,"רוע, רשע"
wide,רחב
widely,באופן נרחב
widespread,"נפוץ, נרחב"
wife,אישה (של מישהו)
wild,פראי
wildlife,חיות בר
win,לנצח
windmill,טחנת רוח
wink,לקרוץ
winter,חורף
wisdom,חוכמה
wish,"משאלה, לבקש, לרצות"
within,בתוך
withstand,לעמוד נגד לחץ
worth,שווי
wring,לסחוט
x-ray,צילום רנטגן
yearn,לכמוה
yell,לצעוק
yield,"להניב, להיכנע, לתת זכות קדימה"
youngster,צעיר
zeal,"התלהבות, מרץ"
zealot,קנאי
zest,"שמחת חיים, הרגשת שביעות רצון ועניין"
zone,"אזור, תחום"
zoo,גן חיות
tiresome,"מעייף, מייגע"
toilet,בית שימוש
tolerate,"לסבול משהו, לנשוא, להתיר, לסבול משהו"
tongue,"לשון, שפה, ניב"
tooth,שן
topic,נושא
torch,"פנס, לפיד"
torment,"לענות (בעינויים), להציק, לגרום סבל רב, סבל רב, עינוי"
tortoise,צב
tour,סיור
towards,"לכיוון, לקראת, לעבר"
trace,"עקבות, לעקוב"
trade,"סחר, מסחר, לסחור"
tradition,מסורת
traditional,מסורתי
traditionally,באופן מסורתי
traffic,תנועה של כלי רכב
train,"רכבת, לאמן, להתאמן"
trait,תכונת אופי
tranquil,"שקט, רגוע"
transform,"להפוך ל..., להשתנות"
transformation,שינוי
transition,מעבר
transitory,בר-חלוף
translate,לתרגם
translation,תרגום
travel,לטייל
traveler,טייל
treat,"להתייחס אל..., תענוג"
tremendous,"עצום, גדול"
trend,מגמה
trigger,"להפעיל, לעורר, דבר המעורר תגובה עזה, הדק"
trivial,שולי
troupe,"להקה, הרכב"
trousers,מכנסיים
trust,לסמוך
type,"סוג, להדפיס"
typical,אופייני
tyranny,שלטון עריצות
tyrant,עריץ
ugly,מכוער
ultimate,סופי
unanimous,פה-אחד
unavoidable,בלתי נמנע
uncle,דוד
underline,להדגיש
undermine,"לחתור תחת, לסקל"
undertake,"לקחת על עצמך (משימה, אחריות)"
undertaker,קברן
union,"איחוד, איגוד"
unique,ייחודי
unison,"ביחד, בצוותא"
unity,אחדות
unnatural,לא טבעי
upset,"מודאג, מוטרד, נסער, להדאיג, להטריד"
upwards,כלפי מעלה
urban,עירוני
urgent,דחוף
utterly,"לחלוטין, לגמרי"
vacation,חופשה
suggest,להציע
suggestion,הצעה
summer,קיץ
superfluous,"עודף, מיותר"
superior,"נעלה, עליון"
supper,ארוחת ערב
support,תמיכה
suppose,לשער
supposedly,"כביכול, כנראה, לכאורה"
supposition,השערה
sure,להיות בטוח במשהו
surface,פני השטח
surreptitiously,"באופן חשאי, סודי"
surrounding,מקיף
survive,לשרוד
susceptible,"רגיש, פגיע, מועד"
suspend,"להשעות, להשהות, לעכב"
suspension,"דחייה, השהייה"
sustain,"לשמור על משהו לאורך זמן, להחזיק, לתמוך"
suture,לבצע תפר רפואי
sweep,לטאטא
swim,לשחות
switch on/off, להדליק/לכבות
symbol,סמל
system,מערכת
take,לקחת
take advantage of ,לנצל
take off, להמריא
tale,"סיפור , מעשייה"
target,מטרה
task,"משימה, מטלה"
tax,מס
taxation,מיסוי
teach,ללמד
technique,שיטה (טכניקה)
teeth,שיניים
tell,"לספר, לומר"
temper,מזג רגזני
temperament,"מזג, אופי"
temporary,זמני
tempt,לפתות
temptation,פיתוי
tend,לנטות לעשות משהו
tend to, לנטות ל...
tendency,נטייה
tender,"ברכות, רך, עדין"
tense,"זמן דקדוקי, מתוח"
tension,מתח
theme,נושא מרכזי
theory,"השערה, תיאוריה"
therefore,לכן
think,לחשוב על...
thirst,צמא
thorax,"חזה, בית החזה"
thorough,יסודי
threat,איום
thrive,לשגשג
thrust,להדוף
thus,"לפיכך, לכן"
tight,"צמוד, הדוק"
smell,להריח
smother,"לכסות, לחנוק"
snout,חוטם של בעל חיים
society,חברה
solidarity,אחדות
solution,"תמיסה, פתרון"
solve,לפתור
son,בן
sophisticated,מתוחכם
source,מקור
south,דרום
speak,לדבר
species,"מין, סוג"
specific,"מסויים, מפורט"
specifically,באופן ספציפי
speech,"נאום, דיבור"
spell,לאיית
spelling,איות
spend,"להוציא/לבזבז כסף, לבלות עם, להעביר/להקדיש זמן"
split,"מחולק, לפצל, לחלק"
spread,"לפרוש, להתפשט"
spring,"לזנק, לנתר, אביב"
stability,יציבות
stable,יציב
stagger,"ללכת לא יציב, להתנודד"
stamp,בול
standpoint,עמדה
start off," להתחיל, להיפתח ב..."
statement,"הצהרה, אימרה, היגד"
stem,"לנבוע, לצמוח, גבעול"
stench,סירחון
stenographer,קצרן
stimulus,גירוי
stink,להסריח
stomach,בטן
store,"חנות, לאחסן"
straight,ישר
stranger,זר
stratum,"שכבה, רובד"
strenuous,"מאמץ, קשה"
stress,"להדגיש, מתח, לחץ"
stretch,"להימתח, למתוח"
strive,לחתור
struggle,"מאבק, להיאבק"
study,"ללמוד, מחקר"
stunt,פעלול
stuntman,פעלולן (בסרטים)
style,סגנון
subconscious,תת מודע
subject,נושא
submit,"להיכנע, להגיש"
subscribe,לעשות מנוי
sudden,פתאומי
suddenly,לפתע
sue,לתבוע
suffer,לסבול
sufficient,"מספיק, מספק"
sufficiently,באופן שיספק
suffocate,להיחנק
suffocation,חנק
Abandon,לנטוש
Alter,לשנות
Analyze,לנתח
Announce,להכריז
Anticipate,לצפות
Apparent,ברור
Basic,בסיסי
Bias,הטיה
Blame,להאשים
Capacity,יכולת קיבול
Characterize,לאפיין
Circumstance,נסיבות
Combine,לשלב
Comfort,נוחות
Complete,להשלים
Comprehend,להבין
Concept,מושג
Confirm,לאשר
Conform,להתאים את עצמו ל- 
Evaluate,להעריך
Exaggerate,להגזים
Exclude,לשלול
Expect,לצפות
Focus,להתמקד
Forecast,לחזות
Formulate,לנסח
Guarantee,להבטיח
Handle,לטפל ב- 
Highlight,להדגיש
Illustrate,להמחיש
Implement,ליישם
Innovate,לחדש
Integrate,לשלב
Intervene,להתערב
Label,לתייג
Measure,למדוד
Mention,להזכיר
Motivate,להניע לפעולה
Negotiate,לנהל משא ומתן
Observe,לצפות ב- 
Operate,להפעיל
Organize,לארגן
Overcome,להתגבר
Persist,להתמיד
Prioritize,לתעדף
Prohibit,לאסור
Promote,לקדם
Protect,להגן
Publish,לפרסם
Question,לשאול
Recommend,להמליץ
Reflect,להרהר
Refuse,לסרב
Reinforce,לחזק
Relax,להירגע
Remove,להסיר
Research,לחקור
Reside,לגור
Accommodate,לאכסן
Adjacent,סמוך
Aesthetic,אסתטי
Append,להוסיף
Approximate,בקירוב
Arbitrary,שרירותי
Autonomous,אוטונומי
Benevolent,נדיב
Catalyst,זרז
Chronology,כרונולוגיה
Circumvent,לעקוף
Cognitive,קוגניטיבי
Cohesive,מלוכד
Collateral,בטוחה
Compile,לקבץ
Complement,משלים
Compliance,ציות
Comprehensive,מקיף
Compromise,פשרה
Concede,להודות ב- 
Concurrent,מקבילי
Configuration,תצורה
Consensus,קונצנזוס
Constraint,מגבלה
Contingency,אפשרות בלתי צפויה
Convergence,התכנסות
Convey,להעביר מסר
Correlation,מתאם
Credible,אמין
Criterion,קריטריון
Deviation,סטייה
Diagnosis,אבחנה
Discretion,שיקול דעת
Diversity,"מגוון, גיוון, שונות, ריבוי"
Efficacy,יעילות
Emission,פליטה
Empirical,אמפירי
Endorse,לתמוך
Equilibrium,שיווי משקל
Escalate,להסלים
Ethical,אתי
Exquisite,מעודן
Feasible,בר ביצוע
Fluctuation,תנודה
Framework,מסגרת
Hierarchy,היררכיה
Homogeneous,הומוגני
Ideology,אידיאולוגיה
Improbable,לא סביר
Inception,התחלה
Inclination,נטייה
Indigenous,ילידי
Inference,הסקה
Infrastructure,תשתית
Insightful,תובנה
Integrity,יושרה
Intrinsic,פנימי
Intuition,אינטואיציה
Justification,הצדקה
Liability,אחריות משפטית
Manipulation,מניפולציה
Marginal,שולי
Methodology,מתודולוגיה
Mitigation,הפחתה
Negligible,זניח
Paradigm,פרדיגמה
Parameter,פרמטר
Phenomenon,תופעה
Plausible,סביר להניח
Precedence,קדימות
Precision,דיוק
Predominant,"שולט, עיקרי, בולט"
Proponent,תומך
Quantitative,כמותי
Rational,רציונלי
Reciprocity,הדדיות
Reiterate,לחזור על
Resilience,חוסן
Retain,לשמור
Saturate,לרוות
Speculate,לשער
Subordinate,כפוף
Subsequent,עוקב
Substantial,משמעותי
Succession,רצף
Supplement,תוסף
Surveillance,מעקב
Tactic,טקטיקה
Theoretical,תיאורטי
Unprecedented,חסר תקדים
Validate,לאמת
Variable,משתנה
Viable,בר קיימא
